seed,optimizer,physical_objective,penalty_value,total_objective,physical_fraction,penalty_fraction,is_penalty_dominated,is_feasible,domain_status
655,QPSO,3.2758,0.0,3.275827211283357,1.0,0.0,False,True,VALID
692,QPSO,3.2758,0.0,3.275826661604789,1.0,0.0,False,True,VALID
729,QPSO,3.2758,0.0,3.275826710801633,1.0,0.0,False,True,VALID
766,QPSO,3.2758,0.0,3.275826576485903,1.0,0.0,False,True,VALID
803,QPSO,3.2758,0.0,3.275826651794343,1.0,0.0,False,True,VALID
840,QPSO,3.2758,0.0,3.275827733721683,1.0,0.0,False,True,VALID
877,QPSO,3.2758,0.0,3.275827480768545,1.0,0.0,False,True,VALID
914,QPSO,3.2758,0.0,3.275826908053799,1.0,0.0,False,True,VALID
951,QPSO,3.2758,0.0,3.2758270284557502,1.0,0.0,False,True,VALID
988,QPSO,3.2758,0.0,3.275826668386259,1.0,0.0,False,True,VALID
1025,QPSO,3.2758,0.0,3.2758265774229294,1.0,0.0,False,True,VALID
1062,QPSO,3.2758,0.0,3.275826651463265,1.0,0.0,False,True,VALID
1099,QPSO,3.2758,0.0,3.275826643422303,1.0,0.0,False,True,VALID
1136,QPSO,3.2758,0.0,3.2758266860543963,1.0,0.0,False,True,VALID
1173,QPSO,3.2758,0.0,3.275826580629264,1.0,0.0,False,True,VALID
100,Random_Search,3.2795,0.0,3.2794678074985675,1.0,0.0,False,True,VALID
137,Random_Search,3.2786,0.0,3.278623431845878,1.0,0.0,False,True,VALID
174,Random_Search,3.2781,0.0,3.278095351224211,1.0,0.0,False,True,VALID
211,Random_Search,3.2789,0.0,3.278873841690002,1.0,0.0,False,True,VALID
248,Random_Search,3.2867,0.0,3.2866721732455475,1.0,0.0,False,True,VALID
285,Random_Search,3.2768,0.0,3.2768302846550794,1.0,0.0,False,True,VALID
322,Random_Search,3.2779,0.0,3.2778901098201945,1.0,0.0,False,True,VALID
359,Random_Search,3.2823,0.0,3.2823260147706605,1.0,0.0,False,True,VALID
396,Random_Search,3.2819,0.0,3.281867406531297,1.0,0.0,False,True,VALID
433,Random_Search,3.2792,0.0,3.2792015621499906,1.0,0.0,False,True,VALID
470,Random_Search,3.3037,0.0,3.303698664208228,1.0,0.0,False,True,VALID
507,Random_Search,3.2786,0.0,3.278609044995535,1.0,0.0,False,True,VALID
544,Random_Search,3.2821,0.0,3.2820855279052563,1.0,0.0,False,True,VALID
581,Random_Search,3.2793,0.0,3.279301849078493,1.0,0.0,False,True,VALID
618,Random_Search,3.2895,0.0,3.2894858121968342,1.0,0.0,False,True,VALID
655,Random_Search,3.2954,0.0,3.2954380530944976,1.0,0.0,False,True,VALID
692,Random_Search,3.281,0.0,3.2809682779403286,1.0,0.0,False,True,VALID
