algorithm,seed,feasibility,best_penalty_free,fitness,best_penalty,fuel_tonnes,cost_usd,ghg_tonnes,delay_hours,feasible_evaluations,penalty_free_evaluations,unique_solutions,nondominated_penalty_free,pf_min_fuel_tonnes,pf_min_cost_usd,pf_min_ghg_tonnes,runtime_seconds,evaluations
NSGA_III,1025,1.0,False,85325.7445,85318.25,387.97,460445.66,589.89,41.5,3,0,2499,0,,,,0.484,2500
NSGA_III,1026,1.0,True,4.3631,0.0,213.41,213197.32,680.49,0.0,1860,407,2498,5,208.62,206789.44,677.98,1.891,2500
NSGA_III,1027,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2498,0,,,,0.472,2500
NSGA_III,1028,1.0,True,4.8897,0.0,249.86,257990.96,662.47,0.0,1975,884,2500,3,249.75,257869.1,631.87,1.777,2500
NSGA_III,1029,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2499,0,,,,0.459,2500
NSGA_III,1030,1.0,True,4.2985,0.0,207.02,209986.93,651.92,0.0,1717,1003,2492,3,203.77,205067.81,622.06,2.018,2500
Hybrid_QI_A5,1001,1.0,True,4.048,0.0,183.17,176356.79,753.2,0.0,241,32,2500,5,183.17,176356.79,656.22,1.674,2500
Hybrid_QI_A5,1002,1.0,True,4.068,0.0,184.8,177945.91,759.43,0.0,234,56,2500,5,184.8,177945.91,642.54,1.776,2500
Hybrid_QI_A5,1003,1.0,True,4.1612,0.0,188.11,181125.0,773.37,0.0,239,43,2500,6,187.95,181125.0,662.24,1.839,2500
Hybrid_QI_A5,1004,1.0,True,4.1205,0.0,184.45,182353.17,758.69,0.0,262,78,2500,9,184.45,179919.03,648.12,1.871,2500
Hybrid_QI_A5,1005,1.0,True,4.037,0.0,179.33,174673.71,735.83,0.0,232,47,2500,5,179.33,174673.71,656.98,2.195,2500
Hybrid_QI_A5,1006,1.0,True,4.151,0.0,188.2,181983.77,773.98,0.0,214,43,2500,5,187.76,181983.77,674.13,1.968,2500
Hybrid_QI_A5,1007,1.0,True,4.064,0.0,180.47,175794.42,740.09,0.0,230,38,2500,2,180.47,175794.42,659.2,1.883,2500
Hybrid_QI_A5,1008,1.0,True,4.3042,0.0,208.69,210121.85,652.61,0.0,237,26,2500,3,207.18,206473.81,652.61,1.576,2500
Hybrid_QI_A5,1009,1.0,True,4.1295,0.0,187.27,181105.16,769.76,0.0,272,85,2500,10,186.9,180699.67,650.39,1.688,2500
Hybrid_QI_A5,1010,1.0,True,4.1024,0.0,185.11,180191.9,760.62,0.0,263,49,2500,6,185.11,180191.9,672.3,1.515,2500
Hybrid_QI_A5,1011,1.0,True,4.0099,0.0,178.24,173604.94,731.71,0.0,248,15,2500,2,178.24,173604.94,659.9,1.846,2500
Hybrid_QI_A5,1012,1.0,True,4.1513,0.0,187.93,181741.65,772.44,0.0,232,35,2500,6,186.97,181741.65,682.71,2.255,2500
Hybrid_QI_A5,1013,1.0,True,4.1256,0.0,186.14,182896.32,764.25,0.0,202,42,2500,6,186.14,181528.35,696.0,2.249,2500
Hybrid_QI_A5,1014,1.0,True,4.1587,0.0,188.31,182038.56,775.39,0.0,269,34,2500,3,188.31,181590.18,690.57,2.208,2500
Hybrid_QI_A5,1015,1.0,True,4.214,0.0,188.7,186582.28,773.25,0.0,199,36,2500,5,188.7,186574.68,664.18,2.151,2500
Hybrid_QI_A5,1016,1.0,True,4.2128,0.0,189.94,185683.17,781.76,0.0,211,22,2500,5,189.94,185341.58,654.49,2.065,2500
Hybrid_QI_A5,1017,1.0,True,4.1649,0.0,187.79,184375.7,773.41,0.0,221,18,2500,6,187.79,184375.7,653.58,2.201,2500
Hybrid_QI_A5,1018,1.0,True,4.3584,0.0,192.08,184909.51,790.31,0.0,252,49,2500,5,192.08,184909.51,646.12,2.045,2500
Hybrid_QI_A5,1019,1.0,True,4.0462,0.0,183.15,177135.56,753.05,0.0,218,32,2500,4,183.15,177135.56,662.35,1.792,2500
Hybrid_QI_A5,1020,1.0,True,4.0162,0.0,179.43,174736.39,736.94,0.0,241,57,2500,5,179.43,174736.39,630.66,1.837,2500
Hybrid_QI_A5,1021,1.0,True,4.1136,0.0,185.68,179895.95,764.18,0.0,255,18,2500,3,185.68,179895.95,686.21,1.667,2500
Hybrid_QI_A5,1022,1.0,True,4.085,0.0,185.42,179343.11,761.79,0.0,244,34,2500,3,185.42,179343.11,687.42,1.738,2500
Hybrid_QI_A5,1023,1.0,True,4.0676,0.0,180.05,177441.16,738.32,0.0,206,34,2500,4,180.01,177393.22,630.69,1.758,2500
Hybrid_QI_A5,1024,1.0,True,4.0906,0.0,184.41,178683.34,758.59,0.0,223,43,2500,5,184.41,178683.34,684.34,1.172,2500
Hybrid_QI_A5,1025,1.0,True,4.0552,0.0,180.99,175482.19,742.66,0.0,241,73,2500,4,180.99,175482.19,644.12,1.716,2500
Hybrid_QI_A5,1026,1.0,True,4.4252,0.0,194.83,191126.6,802.89,0.0,240,33,2500,7,194.83,191126.6,686.41,1.54,2500
Hybrid_QI_A5,1027,1.0,True,4.1869,0.0,187.56,185369.96,770.94,0.0,227,24,2500,3,187.56,185369.96,702.66,1.627,2500
Hybrid_QI_A5,1028,1.0,True,4.1865,0.0,187.61,183490.48,771.14,0.0,259,51,2500,5,187.61,183490.48,646.2,1.957,2500
Hybrid_QI_A5,1029,1.0,True,4.1437,0.0,186.49,181530.09,766.02,0.0,235,40,2500,5,186.49,181530.09,676.35,1.659,2500
Hybrid_QI_A5,1030,1.0,True,4.0143,0.0,178.43,175460.07,732.89,0.0,231,43,2500,4,178.43,175460.07,654.82,1.286,2500
