model,seed,vessel,split,R2,MAE,RMSE,MAPE,sMAPE,Median_AE,P95_error,max_error,bias,training_time,inference_latency,memory_mb,physical_violations
P2 (Physics + ML Residual),1006,Combined Fleet,Chronological Test (20%),0.9503002311836134,246.6133305175552,442.35020492853465,14.688689303346353,14.534391047899268,131.0561868429499,1121.6654417012578,3950.646237742041,-137.00174925412,1.67,0.02,46.0,0
P1 (Pure Classical ML),1007,Combined Fleet,Chronological Test (20%),0.9420334106871892,254.3842149987636,477.7249486148479,15.29329639561553,15.160233754229242,129.83532650564257,1158.5231003514034,3867.873930029205,-133.13650696569402,2.51,0.02,45.0,0
P2 (Physics + ML Residual),1007,Combined Fleet,Chronological Test (20%),0.9513448962557536,242.24670302107265,437.67652131044656,14.445249947629268,14.2851268933069,127.02221906381028,1098.4096347012965,3944.3415204253993,-134.24176543880233,2.5,0.02,46.0,0
P1 (Pure Classical ML),1008,Combined Fleet,Chronological Test (20%),0.942043079642445,254.88961513708065,477.68510416442666,15.191524501926713,15.105457388310404,126.90000581837688,1142.8591343784638,3852.957273164939,-140.65759396625344,1.97,0.02,45.0,0
P2 (Physics + ML Residual),1008,Combined Fleet,Chronological Test (20%),0.9510219356823612,245.67443485797065,439.1267131643867,14.89774243546436,14.742739344643804,130.55347635544513,1090.1151191301265,3894.232217132849,-134.60050263888834,1.8,0.02,46.0,0
P1 (Pure Classical ML),1009,Combined Fleet,Chronological Test (20%),0.9437308960174297,248.26444106342808,470.6781614058925,14.919480693903594,14.783668992189549,126.20707773334692,1139.5859474309948,3850.2356515975216,-137.0856537331907,2.06,0.02,45.0,0
P2 (Physics + ML Residual),1009,Combined Fleet,Chronological Test (20%),0.950575290431686,247.88338763935604,441.1244313310714,15.017669458747587,14.742432118667628,134.281217670263,1111.6085107383888,3900.7977987871664,-142.60125022754585,1.98,0.02,46.0,0
P1 (Pure Classical ML),1010,Combined Fleet,Chronological Test (20%),0.9406664314782004,259.7264545975613,483.32502608090897,15.26781446773192,15.121945914067204,130.88244725045558,1208.3894514159715,3821.2656632126022,-134.07082845560635,1.88,0.02,45.0,0
P2 (Physics + ML Residual),1010,Combined Fleet,Chronological Test (20%),0.9511390232286122,243.834919364753,438.6015083004626,14.825391433653769,14.547107768420489,129.0753752937216,1077.083555891188,3825.6583538078407,-127.73617887154788,2.22,0.02,46.0,0
P1 (Pure Classical ML),1011,Combined Fleet,Chronological Test (20%),0.942791573513422,250.2701548027252,474.5905101415174,14.841976047502808,14.808611435189691,124.68836824732932,1143.2369042030873,3882.6956469207416,-135.61984667886202,1.7,0.02,45.0,0
P2 (Physics + ML Residual),1011,Combined Fleet,Chronological Test (20%),0.951072378458564,245.2242979387164,438.9005254100904,14.719247274788794,14.601715167835447,130.76840408169306,1084.2326519632554,3927.742296603632,-136.6143858107939,1.78,0.02,46.0,0
P1 (Pure Classical ML),1012,Combined Fleet,Chronological Test (20%),0.9424480876545172,254.7684657206728,476.0131254843496,15.375586777322075,15.429151339150067,131.41217457748382,1150.0964877836568,3827.817720071696,-137.68621300276288,1.99,0.02,45.0,0
P2 (Physics + ML Residual),1012,Combined Fleet,Chronological Test (20%),0.951519364513184,241.84530145180767,436.8911028143489,14.58022430288454,14.481953851277812,127.15099754931224,1085.036785750819,3877.044553052356,-137.83629354280652,2.25,0.02,46.0,0
P1 (Pure Classical ML),1013,Combined Fleet,Chronological Test (20%),0.9419428033769048,253.5603148822048,478.09816766721553,15.080606796376236,15.01886169997396,127.40186716190578,1153.417204835123,3826.836480226577,-139.34438402017744,2.54,0.02,45.0,0
P2 (Physics + ML Residual),1013,Combined Fleet,Chronological Test (20%),0.9505346973903516,248.08121750235088,441.3055442523532,14.97349933437575,14.94891436803453,132.370765392169,1102.7038587205116,3888.25548719432,-141.06557965184518,2.15,0.02,46.0,0
P1 (Pure Classical ML),1014,Combined Fleet,Chronological Test (20%),0.9372885662732158,272.3234236541905,496.8924677437439,15.708585256928762,15.840524346304736,145.4574233450383,1176.3905819419645,3873.7760057186247,-160.5007134281698,1.97,0.02,45.0,0
P2 (Physics + ML Residual),1014,Combined Fleet,Chronological Test (20%),0.9476009262572824,257.91927812496266,454.2038943400914,15.097429459482262,14.8783967441738,139.1526518799417,1110.497393459898,3878.517205596102,-144.56573282989112,1.89,0.02,46.0,0
P1 (Pure Classical ML),1015,Combined Fleet,Chronological Test (20%),0.9431973553484532,248.78916905854152,472.9043693805657,14.9557519803174,14.90234432737808,124.80848127014306,1147.3170045582422,3880.010787044017,-139.0392988874566,2.0,0.02,45.0,0
