optimizer,seed,term_fuel_weighted_norm,term_cost_weighted_norm,term_ghg_weighted_norm,term_delay_weighted_norm,term_risk_weighted_norm,penalty_value,calculated_objective,reported_objective,reconstruction_absolute_error
QPSO,877,1.3716499999999998,1.26241428,0.551,0.0,0.09076666666666668,0.0,3.2758309466666664,3.275827480768545,3.4658981213908646e-06
QPSO,914,1.3716499999999998,1.26241404,0.551,0.0,0.09076666666666668,0.0,3.2758307066666665,3.275826908053799,3.798612867367268e-06
QPSO,951,1.3716499999999998,1.2624141000000002,0.551,0.0,0.09076666666666668,0.0,3.2758307666666666,3.2758270284557502,3.738210916370832e-06
QPSO,988,1.3716499999999998,1.2624139799999998,0.551,0.0,0.09076666666666668,0.0,3.2758306466666665,3.275826668386259,3.978280407324064e-06
QPSO,1025,1.3716499999999998,1.26241392,0.551,0.0,0.09076666666666668,0.0,3.275830586666667,3.2758265774229294,4.009243737446155e-06
QPSO,1062,1.3716499999999998,1.2624139799999998,0.551,0.0,0.09076666666666668,0.0,3.2758306466666665,3.275826651463265,3.995203401441216e-06
QPSO,1099,1.3716499999999998,1.2624139799999998,0.551,0.0,0.09076666666666668,0.0,3.2758306466666665,3.275826643422303,4.003244363559588e-06
QPSO,1136,1.3716499999999998,1.2624139799999998,0.551,0.0,0.09076666666666668,0.0,3.2758306466666665,3.2758266860543963,3.960612270148545e-06
QPSO,1173,1.3716499999999998,1.26241392,0.551,0.0,0.09076666666666668,0.0,3.275830586666667,3.275826580629264,4.006037402692897e-06
Random_Search,100,1.3731899999999997,1.26381714,0.5516166666666668,0.0,0.09086666666666668,0.0,3.2794904733333334,3.2794678074985675,2.266583476595585e-05
Random_Search,137,1.37284,1.2634917599999997,0.5514666666666667,0.0,0.09083333333333334,0.0,3.27863176,3.278623431845878,8.328154122327902e-06
Random_Search,174,1.37263,1.26328824,0.5513833333333333,0.0,0.09083333333333334,0.0,3.2781349066666667,3.278095351224211,3.9555442455707635e-05
Random_Search,211,1.3729099999999999,1.2635882999999999,0.5515166666666667,0.0,0.09083333333333334,0.0,3.2788482999999995,3.278873841690002,2.5541690002572892e-05
Random_Search,248,1.3761999999999999,1.26659352,0.5528166666666666,0.0,0.09106666666666667,0.0,3.2866768533333333,3.2866721732455475,4.680087785757792e-06
Random_Search,285,1.37207,1.2628007399999999,0.5511666666666667,0.0,0.09079999999999999,0.0,3.276837406666666,3.2768302846550794,7.122011586702115e-06
